reference,customer_name,status,last_update
TV-100001,Crestview Distribution,created,2026-07-04T22:08:00Z
TV-100002,Kingsway Supplies,in_transit,2026-07-03T18:03:00Z
TV-100003,Metro Retail,delivered,2026-07-02T23:00:00Z
TV-100004,Baywater Supplies,in_transit,2026-07-09T19:59:00Z
TV-100005,Eastlink Retail,delivered,2026-07-05T10:50:00Z
TV-100006,Pacific Packaging,created,2026-07-09T22:22:00Z
TV-100007,Bluegum Electronics,picked_up,2026-07-09T01:49:00Z
TV-100008,Sunrise Pharma,delivered,2026-07-08T02:43:00Z
TV-100009,Summit Hardware,created,2026-07-09T01:45:00Z
TV-100010,Ironbark Freight,in_transit,2026-07-10T01:52:00Z
TV-100011,Acme Textiles,picked_up,2026-07-06T11:53:00Z
TV-100012,Riverside Pharma,in_transit,2026-07-07T00:41:00Z
TV-100013,Redwood Electronics,in_transit,2026-07-08T14:28:00Z
TV-100014,Riverside Pharma,in_transit,2026-07-10T00:12:00Z
TV-100015,Ironbark Foods,created,2026-07-08T03:33:00Z
TV-100016,Skyline Trading,failed,2026-07-05T11:07:00Z
TV-100017,Kingsway Packaging,created,2026-07-02T07:23:00Z
TV-100018,Kingsway Pharma,picked_up,2026-07-02T19:03:00Z
TV-100019,Silverline Motors,delivered,2026-07-03T17:50:00Z
TV-100020,Skyline Supplies,picked_up,2026-07-09T10:40:00Z
TV-100021,Redwood Foods,in_transit,2026-07-06T07:37:00Z
TV-100022,Ironbark Logistics,picked_up,2026-07-02T01:29:00Z
TV-100023,Eastlink Logistics,picked_up,2026-07-08T00:41:00Z
TV-100024,Harbour Beverages,created,2026-07-03T22:30:00Z
TV-100025,Harbour Pharma,failed,2026-07-05T02:13:00Z
TV-100026,Silverline Retail,delivered,2026-07-03T18:30:00Z
TV-100027,Kingsway Motors,delivered,2026-07-04T02:21:00Z
TV-100028,Bluegum Wholesale,created,2026-07-02T10:28:00Z
TV-100029,Pacific Hardware,delivered,2026-07-09T15:05:00Z
TV-100030,Crestview Textiles,created,2026-07-02T00:33:00Z
TV-100031,Northern Trading,created,2026-07-04T03:53:00Z
TV-100032,Riverside Distribution,picked_up,2026-07-06T03:12:00Z
TV-100033,Silverline Freight,created,2026-07-06T09:00:00Z
TV-100034,Eastlink Retail,created,2026-07-02T09:28:00Z
TV-100035,Crestview Beverages,delivered,2026-07-03T18:22:00Z
